colorcontrast(rgb),colorcontrast(hsv),intensityContrast,i1,i2,tcontrast,tenergy,thomogeneity,tcorrelation,edgesG,result
375.589,105,0.509612,0.663266,0.153653,1.26917,0.105392,0.771717,0.872025,335141,4.5349
325.557,71,0.371325,0.523915,0.89524,0.178426,0.128601,0.922991,0.968284,152890,4.5763
310.328,26,0.219549,0.9903,0.770751,0.0709243,0.222193,0.966476,0.992774,273272,5.6093
170.249,25,0.00357795,0.922967,0.919389,0.0263117,0.520427,0.98736,0.99344,92279.2,4.3701
330.751,8,0.672556,0.943231,0.270675,0.350751,0.149023,0.904399,0.962599,42787.2,5.0856
333.726,48,0.409767,0.669576,0.259809,0.19544,0.126807,0.915407,0.975222,551593,4.7887
238.632,3,0.48518,0.694112,0.208932,0.170614,0.132465,0.928821,0.967629,129703,5.1714
357.541,45,0.473881,0.700532,0.226652,0.170697,0.151652,0.928712,0.97282,78663.5,5.2613
96.9314,162,0.0725425,0.628039,0.700582,0.256351,0.274086,0.876925,0.758792,20365.7,4.801
359.681,59,0.484123,0.657421,0.173298,0.256023,0.217078,0.914696,0.951926,60201.3,4.9408
347.135,81,0.287423,0.864833,0.57741,0.107068,0.194552,0.952972,0.98223,170001,4.2882
431.815,7,0.483722,0.309923,0.793645,0.101661,0.205803,0.952752,0.990842,101653,4.2241
311.955,24,0.735307,0.0890926,0.824399,0.133287,0.269937,0.950827,0.983172,19837.6,5.3161
359.392,71,0.255387,0.681969,0.937355,0.222432,0.242239,0.945746,0.97336,162123,5.3249
403.363,7,0.496574,0.277821,0.774395,0.0227981,0.222203,0.988601,0.997597,94746.2,4.2599
568.19,120,0.731738,0.859523,0.127786,0.0899235,0.338998,0.96782,0.992338,269592,6.0278
207.382,88,0.180472,0.581022,0.761493,0.345833,0.14161,0.901624,0.918433,216493,5.0795
214.43,46,0.252708,0.43623,0.688937,0.112727,0.474606,0.954607,0.951967,53775.3,4.9931
220.009,2,0.327952,0.420138,0.74809,0.517725,0.148138,0.824708,0.831367,783000,6.2273
322.281,13,0.257737,0.954396,0.696659,0.0765181,0.545621,0.970161,0.978958,211440,4.6275
186.144,70,0.304373,0.208154,0.512527,0.343278,0.209999,0.912879,0.867832,275033,5.451
249.77,3,0.430042,0.310544,0.740586,0.372159,0.0956389,0.863612,0.934376,142190,5.8443
284.091,73,0.267487,0.434663,0.70215,0.189107,0.23657,0.920418,0.943854,155567,5.0943
509.145,55,0.540192,0.397216,0.937408,0.096766,0.289394,0.962023,0.992897,97938.4,7.1287
431.819,21,0.572962,0.124799,0.697761,0.156963,0.152738,0.946244,0.985313,581863,5.5192
329.441,34,0.581729,0.893697,0.311968,0.117964,0.169022,0.953826,0.981846,19343.1,5.0741
334.887,98,0.672062,0.731447,0.0593855,0.0779038,0.434869,0.978789,0.990559,166970,4.9051
261.543,13,0.165975,0.803371,0.637396,0.0495041,0.370478,0.980722,0.986544,255714,5.724
378.639,1,0.580302,0.0402525,0.620555,0.0413559,0.339856,0.987671,0.995854,943760,4.4436
311.199,18,0.557774,0.314753,0.872526,0.364772,0.106283,0.878312,0.960215,88182.2,4.7203
252.021,54,0.138589,0.918073,0.779484,0.110685,0.241394,0.948488,0.958814,96857.3,2.4945
309.528,47,0.773174,0.903086,0.129912,0.160233,0.2659,0.951708,0.977683,269762,5.7739
346.687,55,0.696953,0.93978,0.242826,0.170704,0.170277,0.940651,0.970483,205483,5.832
308.271,14,0.256568,0.740934,0.997502,0.0720547,0.592109,0.974224,0.973589,8208.83,4.8418
457.394,0,0.597901,0.732395,0.134494,0.134926,0.234844,0.956022,0.98597,162069,5.3016
239.703,0,0.387786,0.668489,0.280703,0.142957,0.184895,0.946688,0.975051,337011,5.9726
372.958,95,0.367107,0.499589,0.866696,0.216186,0.171292,0.934492,0.970991,266966,5.2533
316.434,92,0.394883,0.515777,0.91066,0.231914,0.579087,0.949709,0.874509,54896.3,6.1382
446.464,15,0.525746,0.325855,0.851601,0.0968013,0.298519,0.962267,0.984435,84541.7,5.1923
494.06,34,0.611908,0.822961,0.211053,0.0690219,0.353252,0.971729,0.983775,175325,5.3743
497.664,31,0.395154,0.99724,0.602086,0.149324,0.442834,0.951176,0.986107,31624,4.8688
249.015,81,0.100381,0.558378,0.658759,0.0256036,0.341844,0.987493,0.987645,129587,4.7588
193.458,22,0.17327,0.448718,0.621988,0.0759583,0.424726,0.97135,0.96439,32578.4,3.7533
353.428,35,0.240091,0.670312,0.910403,0.0687424,0.193126,0.968306,0.991142,53655.4,4.7282
351.691,18,0.829506,0.0995734,0.92908,0.129436,0.506523,0.964826,0.983795,274898,6.2429
458.99,31,0.529322,0.77449,0.245168,0.0644882,0.241193,0.970481,0.992019,140317,4.7719
469.888,4,0.593255,0.147051,0.740305,0.0457522,0.249029,0.983101,0.996571,65613.5,5.0201
258.125,83,0.347323,0.221357,0.56868,0.19942,0.190787,0.918508,0.959933,299673,5.8541
365.18,91,0.0952933,0.635163,0.730456,0.134786,0.234616,0.97349,0.973259,71890.3,4.5507
193.669,3,0.268145,0.713349,0.445204,0.231215,0.159177,0.912452,0.936578,209210,6.4061
193.664,3,0.266653,0.450897,0.71755,0.231215,0.159177,0.912452,0.936578,209210,6.4061
347.759,0,0.486426,0.267002,0.753428,0.250712,0.085588,0.883302,0.972713,644812,5.3673
333.769,6,0.483056,0.222297,0.705353,0.329104,0.177713,0.871096,0.91413,27145.2,5.4339
340.339,1,0.431738,0.301471,0.733209,0.170288,0.132495,0.934073,0.977392,656884,5.3027
521.476,30,0.653765,0.762436,0.108671,0.137405,0.677906,0.964106,0.979877,179760,4.8111
239.725,91,0.352828,0.61557,0.262741,0.193253,0.337954,0.948269,0.909938,27874.6,6.199
518.257,107,0.802099,0.887134,0.0850354,0.169486,0.386807,0.941559,0.982253,19334.1,5.2676
464.49,76,0.213219,0.885383,0.672164,0.0786726,0.186545,0.966925,0.992688,649552,5.8475
331.741,1,0.361043,0.804381,0.443338,0.0753179,0.244786,0.967157,0.985427,320236,5.0085
542.621,45,0.707809,0.286209,0.994017,0.0942115,0.593604,0.972543,0.990089,12280,5.6884
178.189,21,0.385348,0.747399,0.362051,0.0574269,0.259275,0.971495,0.975943,106917,4.3689
252.089,29,0.495332,0.730825,0.235493,0.24779,0.117233,0.892764,0.955928,58087.6,3.068
312.42,107,0.515271,0.58812,0.0728482,0.0700887,0.522994,0.9735,0.976784,8805.06,5.7163
580.356,82,0.764361,0.871149,0.106788,0.100705,0.349496,0.963535,0.993975,314806,5.0649
301.102,90,0.522471,0.174842,0.697313,0.10306,0.301716,0.960138,0.968394,24443.5,6.0802
534.106,14,0.489263,0.99454,0.505277,0.0466408,0.482,0.980532,0.99627,196835,6.0564
332.799,29,0.472762,0.24732,0.720082,0.107355,0.17325,0.951423,0.983135,515230,6.3895
428.312,0,0.559512,0.348437,0.90795,0.229127,0.340678,0.923284,0.978898,203928,4.9435
424.359,26,0.477558,0.770827,0.293269,0.138772,0.255606,0.958363,0.986863,58987.3,5.5628
336.253,60,0.890306,0.971425,0.0811193,0.0857871,0.388741,0.972368,0.989304,22054.5,5.5838
