colorcontrast(rgb),colorcontrast(hsv),intensityContrast,i1,i2,tcontrast,tenergy,thomogeneity,tcorrelation,edgesG,result
190.764,15,0.329848,0.355119,0.684967,0.083292,0.400654,0.967389,0.943787,8645.56,6.9076
181.179,32,0.0788017,0.426008,0.504809,0.104565,0.340561,0.956232,0.958031,292218,6.2038
210.395,1,0.429943,0.403381,0.833324,0.0609052,0.213438,0.97795,0.9783,275245,6
182.241,22,0.394558,0.809044,0.414486,0.109712,0.269439,0.945846,0.948494,66913,4.3023
308.035,15,0.356083,0.779281,0.423198,0.1686,0.143149,0.938242,0.970534,276506,6.0952
302.476,112,0.340696,0.59182,0.932517,0.21077,0.178589,0.925485,0.964405,507875,6.2697
336.937,98,0.1353,0.846497,0.711197,0.0938051,0.39625,0.966396,0.974508,49001,5.4881
465.854,39,0.348057,0.638311,0.986369,0.56606,0.221232,0.87259,0.949909,251180,5.7752
403.355,99,0.361341,0.617524,0.978865,0.0832803,0.537934,0.966677,0.98663,207894,6.0575
297.624,45,0.376235,0.808071,0.431836,0.316171,0.117891,0.912071,0.947523,260078,6.4508
154.72,55,0.276872,0.543076,0.266203,0.0869212,0.291068,0.96443,0.964134,124411,5.9882
378.275,14,0.72058,0.153354,0.873934,0.144123,0.24856,0.958365,0.986737,45637.4,5.3165
